Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 39722, Tempo: 6.367451
	Custo: 39722, Tempo: 6.386908
	Custo: 39722, Tempo: 6.109156
	Custo: 39722, Tempo: 6.329733
	Custo: 39722, Tempo: 6.471051
Melhor custo: 39722, média dos tempos: 6.458338
Instancia: InstancesBRP/33Madison30.txt, Q: 30
	Custo: 31961, Tempo: 9.166288
	Custo: 31961, Tempo: 9.092622
	Custo: 31961, Tempo: 8.782514
	Custo: 31961, Tempo: 9.362109
	Custo: 31961, Tempo: 9.624979
	Custo: 31961, Tempo: 9.502249
	Custo: 31961, Tempo: 9.617456
	Custo: 31961, Tempo: 9.363181
	Custo: 31961, Tempo: 9.380318
	Custo: 31961, Tempo: 9.211937
Melhor custo: 31961, média dos tempos: 9.310365
Instancia: InstancesBRP/4ReggioEmilia30.txt, Q: 30
	Custo: 16900, Tempo: 0.645808
	Custo: 16900, Tempo: 0.649057
	Custo: 16900, Tempo: 0.763673
	Custo: 16900, Tempo: 0.845505
	Custo: 16900, Tempo: 0.771588
	Custo: 16900, Tempo: 0.645874
	Custo: 16900, Tempo: 0.638245
	Custo: 16900, Tempo: 0.655532
	Custo: 16900, Tempo: 0.820487
	Custo: 16900, Tempo: 0.814119
Melhor custo: 16900, média dos tempos: 0.724989
Instancia: InstancesBRP/42Denver30.txt, Q: 30
	Custo: 51766, Tempo: 74.081566
	Custo: 51920, Tempo: 73.183739
	Custo: 51583, Tempo: 81.452248
	Custo: 51922, Tempo: 78.895905
	Custo: 51583, Tempo: 72.549133
	Custo: 51583, Tempo: 79.103683
	Custo: 51583, Tempo: 77.367737
	Custo: 51766, Tempo: 79.613678
	Custo: 51583, Tempo: 84.360283
	Custo: 51583, Tempo: 84.140999
Melhor custo: 51583, média dos tempos: 78.474896
Instancia: InstancesBRP/41Dublin11.txt, Q: 11
	Custo: 54252, Tempo: 64.883682
	Custo: 54288, Tempo: 62.527988
	Custo: 54260, Tempo: 60.256920
	Custo: 54173, Tempo: 59.970295
	Custo: 54432, Tempo: 61.870243
	Custo: 54077, Tempo: 64.976746
	Custo: 54291, Tempo: 64.354721
	Custo: 54077, Tempo: 62.912903
	Custo: 54113, Tempo: 60.120190
	Custo: 54224, Tempo: 60.378353
Melhor custo: 54077, média dos tempos: 62.225201
Instancia: InstancesBRP/23Ottawa10.txt, Q: 10
	Custo: 17997, Tempo: 3.498500
	Custo: 17997, Tempo: 3.701273
	Custo: 17997, Tempo: 3.746249
	Custo: 17997, Tempo: 3.993280
	Custo: 17997, Tempo: 3.584752
	Custo: 17997, Tempo: 3.911127
	Custo: 17997, Tempo: 3.551565
	Custo: 17997, Tempo: 3.751879
	Custo: 17997, Tempo: 3.991692
	Custo: 17997, Tempo: 3.777879
Melhor custo: 17997, média dos tempos: 3.750820
Instancia: InstancesBRP/19BuenosAires30.txt, Q: 30
	Custo: 78924, Tempo: 4.239949
	Custo: 78924, Tempo: 4.062356
	Custo: 78924, Tempo: 4.342487
	Custo: 78924, Tempo: 4.142421
	Custo: 78924, Tempo: 4.275595
	Custo: 78924, Tempo: 3.973414
	Custo: 78924, Tempo: 4.168496
	Custo: 78292, Tempo: 4.258452
	Custo: 78924, Tempo: 3.937777
	Custo: 78924, Tempo: 4.333990
Melhor custo: 78292, média dos tempos: 4.173494
Instancia: InstancesBRP/20BuenosAires20.txt, Q: 20
	Custo: 87373, Tempo: 5.506857
	Custo: 87194, Tempo: 5.249607
	Custo: 87205, Tempo: 5.686420
	Custo: 87373, Tempo: 5.473761
	Custo: 87373, Tempo: 5.793025
	Custo: 87566, Tempo: 5.167289
	Custo: 87194, Tempo: 5.516358
	Custo: 87555, Tempo: 4.969158
	Custo: 87194, Tempo: 5.430547
	Custo: 87555, Tempo: 5.272792
Melhor custo: 87194, média dos tempos: 5.406581
Instancia: InstancesBRP/21Ottawa30.txt, Q: 30
	Custo: 16478, Tempo: 2.276858
	Custo: 16478, Tempo: 2.297506
	Custo: 16478, Tempo: 2.255436
	Custo: 16478, Tempo: 2.256617
	Custo: 16478, Tempo: 2.273831
	Custo: 16478, Tempo: 2.239202
	Custo: 16478, Tempo: 2.720640
	Custo: 16478, Tempo: 2.290889
	Custo: 16478, Tempo: 2.283101
	Custo: 16478, Tempo: 2.233552
Melhor custo: 16478, média dos tempos: 2.312763
Instancia: InstancesBRP/16LaSpezia30.txt, Q: 30
	Custo: 21255, Tempo: 2.240753
	Custo: 21255, Tempo: 1.999200
	Custo: 21255, Tempo: 2.309574
	Custo: 21255, Tempo: 2.034621
	Custo: 21255, Tempo: 2.377333
	Custo: 21255, Tempo: 1.890810
	Custo: 21255, Tempo: 2.385224
	Custo: 21255, Tempo: 2.141054
	Custo: 21255, Tempo: 2.244508
	Custo: 21255, Tempo: 2.200255
Melhor custo: 21255, média dos tempos: 2.182333
Instancia: InstancesBRP/5ReggioEmilia20.txt, Q: 20
	Custo: 23200, Tempo: 1.000629
	Custo: 23200, Tempo: 0.804211
	Custo: 23200, Tempo: 0.793387
	Custo: 23200, Tempo: 0.927887
	Custo: 23200, Tempo: 1.048478
	Custo: 23200, Tempo: 0.854979
	Custo: 23200, Tempo: 0.785632
	Custo: 23200, Tempo: 0.853277
	Custo: 23200, Tempo: 1.046457
	Custo: 23200, Tempo: 0.959766
Melhor custo: 23200, média dos tempos: 0.907470
Instancia: InstancesBRP/9Bergamo12.txt, Q: 12
	Custo: 13500, Tempo: 1.135583
	Custo: 13500, Tempo: 1.282250
	Custo: 13500, Tempo: 1.455940
	Custo: 13500, Tempo: 1.161022
	Custo: 13500, Tempo: 1.358485
	Custo: 13500, Tempo: 1.496603
	Custo: 13500, Tempo: 1.193435
	Custo: 13500, Tempo: 1.409799
	Custo: 13500, Tempo: 1.380709
	Custo: 13500, Tempo: 1.168094
Melhor custo: 13500, média dos tempos: 1.304192
Instancia: InstancesBRP/43Denver20.txt, Q: 20
	Custo: 53449, Tempo: 74.334053
	Custo: 53502, Tempo: 72.578346
	Custo: 53502, Tempo: 75.068253
	Custo: 53500, Tempo: 74.990433
	Custo: 53500, Tempo: 74.660110
	Custo: 53502, Tempo: 75.051819
	Custo: 53465, Tempo: 69.156624
	Custo: 53663, Tempo: 77.910316
	Custo: 53508, Tempo: 84.515259
	Custo: 53605, Tempo: 75.485435
Melhor custo: 53449, média dos tempos: 75.375061
Instancia: InstancesBRP/40Dublin20.txt, Q: 20
	Custo: 40113, Tempo: 61.248825
	Custo: 40160, Tempo: 59.376781
	Custo: 39980, Tempo: 63.841751
	Custo: 39838, Tempo: 60.579037
	Custo: 40269, Tempo: 58.945290
	Custo: 40028, Tempo: 58.824806
	Custo: 40244, Tempo: 62.729954
	Custo: 39954, Tempo: 57.586514
	Custo: 40228, Tempo: 63.775192
	Custo: 40136, Tempo: 63.483360
Melhor custo: 39838, média dos tempos: 61.039148
Instancia: InstancesBRP/27Brescia30.txt, Q: 30
	Custo: 30400, Tempo: 8.763179
	Custo: 30400, Tempo: 9.157503
	Custo: 30400, Tempo: 9.351134
	Custo: 30400, Tempo: 8.903941
	Custo: 30400, Tempo: 9.263008
	Custo: 30400, Tempo: 9.595086
	Custo: 30400, Tempo: 8.717067
	Custo: 30400, Tempo: 8.993921
	Custo: 30400, Tempo: 9.515566
	Custo: 30400, Tempo: 9.100962
Melhor custo: 30400, média dos tempos: 9.136137
Instancia: InstancesBRP/11Parma20.txt, Q: 20
	Custo: 29000, Tempo: 0.837462
	Custo: 29000, Tempo: 0.984032
	Custo: 29000, Tempo: 1.067477
	Custo: 29000, Tempo: 0.899512
	Custo: 29000, Tempo: 0.837064
	Custo: 29000, Tempo: 0.906567
	Custo: 29000, Tempo: 1.077466
	Custo: 29000, Tempo: 0.940896
	Custo: 29000, Tempo: 0.806434
	Custo: 29000, Tempo: 0.827757
Melhor custo: 29000, média dos tempos: 0.918467
Instancia: InstancesBRP/3Bari10.txt, Q: 10
	Custo: 20600, Tempo: 0.806106
	Custo: 20600, Tempo: 0.814784
	Custo: 20600, Tempo: 0.679149
	Custo: 20600, Tempo: 0.630205
	Custo: 20600, Tempo: 0.614883
	Custo: 20600, Tempo: 0.688726
	Custo: 20600, Tempo: 0.768042
	Custo: 20600, Tempo: 0.828011
	Custo: 20600, Tempo: 0.622383
	Custo: 20600, Tempo: 0.626416
Melhor custo: 20600, média dos tempos: 0.707871
Instancia: InstancesBRP/18LaSpezia10.txt, Q: 10
	Custo: 23281, Tempo: 2.407278
	Custo: 23281, Tempo: 2.882832
	Custo: 23281, Tempo: 2.681059
	Custo: 23281, Tempo: 2.433262
	Custo: 23281, Tempo: 2.402604
	Custo: 23281, Tempo: 2.606558
	Custo: 23281, Tempo: 2.753048
	Custo: 23281, Tempo: 2.352663
	Custo: 23281, Tempo: 3.028774
	Custo: 23281, Tempo: 2.846839
Melhor custo: 23281, média dos tempos: 2.639492
Instancia: InstancesBRP/34Madison20.txt, Q: 20
	Custo: 31961, Tempo: 9.216446
	Custo: 31961, Tempo: 9.266568
	Custo: 31961, Tempo: 9.247715
	Custo: 31961, Tempo: 9.346727
	Custo: 31961, Tempo: 9.589418
	Custo: 31961, Tempo: 9.612459
	Custo: 31961, Tempo: 9.555000
	Custo: 31961, Tempo: 9.506875
	Custo: 31961, Tempo: 9.179797
	Custo: 31961, Tempo: 8.647963
Melhor custo: 31961, média dos tempos: 9.316896
Instancia: InstancesBRP/46RioDeJaneiro20.txt, Q: 20
	Custo: 158228, Tempo: 115.021629
	Custo: 158953, Tempo: 121.153145
	Custo: 158115, Tempo: 116.171013
	Custo: 158993, Tempo: 118.989792
	Custo: 158295, Tempo: 112.419861
	Custo: 159127, Tempo: 122.819008
	Custo: 159044, Tempo: 115.787308
	Custo: 158230, Tempo: 122.446838
	Custo: 158060, Tempo: 117.351738
	Custo: 158557, Tempo: 113.972824
Melhor custo: 158060, média dos tempos: 117.613306
